Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Cooking_With_Microwave,Cooking_With_Grill,Cooking_With_Oven,Cooking_With_Stove,Cooking_With_Airfryer,Recycling_Glass,Recycling_Plastic,Recycling_Paper,Recycling_Metal
3,1,3,1,1,0,0,2,121,3,72,3,6,11,4,10,1,1,1,0,1,1,1,0,0,1
0,0,1,2,1,0,0,1,174,0,9,1,2,1,40,15,1,1,0,0,1,0,1,1,1,0
1,1,3,0,0,0,0,2,173,1,60,3,2,16,14,20,0,0,0,0,0,0,1,1,0,0
0,1,1,1,3,0,0,2,199,1,13,3,5,17,6,15,2,1,1,1,1,1,1,0,1,1
0,1,2,2,2,0,0,0,94,2,32,0,6,15,5,17,0,1,1,0,0,1,1,0,0,1
0,0,0,2,1,0,0,0,64,1,49,0,1,19,47,16,1,1,1,1,1,1,1,1,0,0
2,0,2,1,0,1,0,0,100,0,1351,2,1,20,24,5,1,1,1,0,1,1,1,1,1,0
3,0,3,3,1,1,0,1,240,0,1726,3,2,15,19,5,2,0,0,1,1,0,1,0,0,1
0,0,2,0,0,1,0,2,245,3,1021,3,7,14,48,10,2,0,1,1,1,1,1,0,1,1
3,0,0,0,1,0,0,2,270,2,62,0,5,22,21,11,0,1,1,1,1,1,0,1,0,0
2,1,2,0,2,2,2,1,294,0,9488,0,5,16,20,18,1,0,0,0,0,0,1,0,0,0
3,1,3,3,2,1,0,0,87,0,1037,1,4,0,11,24,2,1,1,1,1,1,0,1,1,0
0,1,0,2,2,2,2,0,209,3,9555,1,2,13,43,3,1,1,1,1,0,1,1,0,1,1
0,1,0,1,0,2,5,0,124,3,9031,2,5,1,11,5,1,0,1,0,1,1,1,1,0,0
2,0,3,3,3,1,0,2,276,1,1461,1,7,19,5,12,0,1,1,1,1,1,0,0,0,1
2,0,1,0,2,0,0,0,90,0,39,3,3,22,7,9,1,1,0,1,1,0,0,1,1,1
1,0,1,2,3,2,5,2,136,3,5033,3,6,0,43,24,2,0,0,1,1,0,0,1,1,1
0,1,1,0,0,1,0,2,246,1,1065,2,4,22,43,7,1,1,1,1,1,1,0,1,0,1
3,1,0,2,2,1,0,1,94,2,927,3,5,18,10,21,1,0,0,1,0,0,1,0,1,0
2,1,3,3,0,2,4,0,253,1,2277,1,1,0,11,20,0,0,0,0,1,0,1,0,1,1
1,0,2,3,3,0,0,0,200,2,97,3,7,13,18,0,0,1,0,0,1,0,0,0,0,1
3,1,1,2,1,2,1,2,281,1,7272,1,2,4,38,5,2,1,1,0,0,1,1,0,1,0
1,0,3,2,0,2,3,2,82,2,5260,2,3,14,18,17,2,0,1,1,1,1,1,1,0,0
2,0,0,3,1,1,0,1,73,2,1750,2,1,9,30,12,1,1,1,1,1,1,1,0,1,0
1,1,3,0,3,2,4,1,246,1,2998,0,4,0,36,3,0,1,0,1,1,0,0,0,0,1
0,1,0,2,3,2,1,2,98,2,9147,2,5,1,49,20,1,1,1,0,1,1,1,1,0,0
2,1,0,1,0,1,0,0,256,2,1947,2,3,23,33,8,0,0,0,0,1,0,0,0,0,0
2,0,3,2,0,2,1,1,287,0,4885,1,1,21,21,3,1,1,1,0,1,1,0,1,0,1
1,0,2,0,0,0,0,0,63,1,20,1,4,1,6,14,2,1,1,1,1,1,1,1,1,1
1,1,3,2,1,0,0,1,158,3,23,2,1,24,33,2,2,0,0,0,1,0,1,0,0,0
1,1,2,1,0,0,0,1,241,1,34,1,5,24,15,10,1,1,1,1,0,1,0,0,0,0
1,0,3,1,1,0,0,0,176,1,59,1,1,11,41,19,1,0,0,1,1,0,0,0,1,0
3,0,3,2,2,1,0,1,189,3,682,0,6,0,35,3,0,1,1,0,1,1,1,0,0,0
1,0,3,2,3,0,0,1,214,3,10,1,6,20,12,24,1,1,0,0,1,0,1,0,0,0
3,0,1,0,0,0,0,2,264,0,10,3,1,7,22,17,0,1,1,1,0,1,1,0,1,0
3,1,2,1,1,2,3,2,213,3,7964,0,1,16,43,9,2,0,0,1,1,0,0,1,1,0
0,0,2,1,1,2,4,1,281,2,3606,0,3,16,8,22,0,0,0,0,1,0,0,1,0,1
3,1,1,2,3,1,0,2,280,1,536,1,2,2,30,1,1,0,0,1,0,0,0,1,0,0
3,1,2,3,3,1,0,0,125,2,1564,1,5,4,15,23,2,1,0,1,0,0,0,0,0,1
1,1,1,0,0,0,0,0,188,1,78,0,4,11,21,3,2,0,1,1,0,1,0,0,1,0
3,0,2,0,2,0,0,1,251,3,98,0,1,12,47,3,2,1,0,0,1,0,0,1,1,1
3,0,0,0,2,1,0,0,285,0,1820,0,1,21,24,9,1,0,1,0,0,1,0,1,0,0
1,1,1,3,2,1,0,0,234,3,243,2,4,20,36,5,1,0,1,1,1,1,1,1,0,1
2,0,1,0,3,1,0,2,91,0,1586,0,7,8,43,2,1,1,0,1,1,0,0,1,1,1
3,0,2,0,3,0,0,0,118,1,11,1,3,6,10,16,2,0,0,1,1,0,0,0,1,0
1,0,3,1,3,0,0,0,75,3,72,0,5,15,42,16,0,0,1,0,1,1,1,1,1,0
2,1,3,3,0,1,0,0,134,3,1157,0,5,19,35,10,2,0,1,1,0,1,1,0,0,0
0,1,0,0,2,1,0,1,282,3,1380,2,4,7,11,8,2,0,1,0,0,1,1,1,0,0
1,1,3,2,0,2,1,1,110,3,5765,3,5,7,2,18,2,0,0,1,1,0,0,0,1,0
2,0,3,2,3,0,0,0,202,0,92,2,6,9,16,14,1,0,1,0,0,1,0,0,0,0
2,1,0,2,0,2,1,0,56,1,7797,1,7,22,8,15,1,0,0,1,1,0,1,1,0,0
3,0,1,1,0,0,0,1,223,0,50,0,3,12,35,22,1,1,1,1,0,1,0,1,0,0
3,0,3,3,2,2,3,1,202,1,7629,3,1,17,37,2,2,0,1,0,0,1,1,1,0,1
2,1,3,0,2,2,3,2,114,1,2367,3,3,1,41,23,2,0,0,1,1,0,1,0,1,1
2,0,2,0,2,2,3,1,141,1,3960,3,1,7,21,1,1,0,0,0,0,0,0,1,1,0
2,0,1,1,1,0,0,2,236,2,42,2,2,19,15,10,1,0,0,0,0,0,0,1,0,1
3,0,2,0,1,2,1,2,95,2,6455,1,1,15,31,14,1,1,1,0,1,1,1,1,1,0
2,0,3,3,0,0,0,0,249,1,41,1,4,6,2,4,0,1,0,0,0,0,0,0,1,0
2,0,0,0,3,0,0,1,213,3,71,3,1,24,17,16,1,1,0,0,0,0,1,1,0,0
1,1,3,1,2,0,0,0,81,3,39,3,7,16,31,15,2,0,0,0,0,0,1,1,0,0
2,0,3,3,1,0,0,0,91,0,50,2,1,13,29,24,2,1,1,1,1,1,1,0,0,1
2,0,1,1,2,2,2,2,291,0,8707,3,3,2,23,23,0,1,0,1,1,0,1,1,0,1
1,0,0,1,0,2,1,2,70,0,167,0,2,9,7,20,1,0,0,1,1,0,0,1,0,1
2,0,0,3,3,1,0,1,89,0,631,3,7,2,0,18,0,1,1,0,0,1,1,1,1,1
2,1,1,1,0,1,0,0,121,2,194,1,6,15,16,18,0,0,1,0,1,1,0,1,0,1
0,0,2,0,1,0,0,1,198,2,46,3,1,12,45,17,2,1,0,1,0,0,1,1,1,0
1,1,3,3,2,0,0,0,234,1,37,2,3,15,29,3,1,1,1,0,0,1,0,0,1,0
2,1,3,2,2,0,0,2,84,2,31,1,2,0,1,1,0,0,1,0,0,1,1,0,0,1
3,1,1,1,1,2,1,1,182,3,2880,0,5,10,9,1,0,1,1,1,0,1,1,1,1,0
2,0,0,2,2,0,0,1,275,3,6,2,2,19,49,19,1,0,0,0,1,0,0,0,1,0
0,0,0,3,1,0,0,2,228,0,40,0,6,1,35,7,0,1,0,0,1,0,1,0,0,0
2,1,1,3,2,0,0,0,140,1,1,1,6,9,24,24,2,1,1,1,0,1,0,1,1,0
2,0,3,3,0,1,0,2,232,3,1341,2,1,22,8,1,0,0,0,1,1,0,1,1,0,1
3,0,0,1,0,1,0,1,115,0,393,0,3,21,13,9,2,1,0,0,1,0,0,0,1,1
1,0,1,0,3,1,0,0,157,1,191,3,4,2,44,12,0,1,0,0,0,0,1,1,0,0
1,0,0,1,1,1,0,2,156,0,131,2,1,14,20,23,2,1,1,1,1,1,1,0,1,0
0,1,2,0,2,2,5,1,252,0,1419,1,5,8,43,20,1,0,1,1,0,1,1,1,0,0
3,0,1,0,0,2,2,0,162,2,9159,0,7,2,26,16,2,1,0,0,0,0,0,0,0,0
1,1,3,0,2,2,4,0,145,3,8016,0,3,21,14,16,2,1,0,1,0,0,0,1,0,1
2,0,2,0,0,0,0,0,214,3,87,3,3,24,32,23,2,1,0,0,0,0,0,1,0,0
0,0,1,1,3,0,0,0,126,2,3,0,5,15,3,12,1,0,0,1,1,0,0,1,1,1
0,0,2,1,2,0,0,1,91,1,13,2,1,19,44,16,1,1,0,0,0,0,1,0,1,0
3,0,2,3,0,0,0,0,205,3,74,1,3,6,2,19,2,1,0,1,0,0,0,1,0,1
0,0,0,1,2,2,4,0,285,1,7743,2,3,1,33,4,1,0,1,1,1,1,0,0,1,0
0,0,1,3,3,1,0,0,178,3,993,1,7,11,2,13,0,1,0,0,0,0,1,1,1,0
1,0,2,1,1,1,0,2,236,2,1997,1,4,6,17,6,2,0,1,1,0,1,1,1,1,0
1,0,2,3,1,2,2,0,286,2,2721,0,6,23,30,22,2,1,1,1,1,1,1,0,0,1
3,0,3,0,1,0,0,1,108,2,5,3,7,21,0,4,1,1,0,1,1,0,0,1,1,0
1,1,1,1,2,1,0,2,76,2,941,1,1,24,3,18,2,0,0,1,1,0,0,1,0,1
0,1,1,3,1,2,5,2,270,1,8815,0,2,7,37,9,0,1,0,0,0,0,0,0,0,1
3,0,0,3,2,2,2,1,146,2,3276,2,1,13,10,10,2,1,0,0,1,0,1,1,1,1
1,1,1,1,0,2,4,2,221,3,3309,3,5,8,16,20,1,1,0,0,0,0,0,0,1,0
1,1,0,3,2,2,4,1,230,3,2623,3,2,20,31,12,2,1,0,0,0,0,1,0,0,1
1,0,2,1,0,2,5,1,295,0,7915,1,1,15,10,18,0,0,0,1,1,0,0,1,1,0
0,1,1,2,0,2,1,2,177,1,8897,0,3,17,3,24,1,0,1,1,0,1,1,0,0,0
0,0,3,1,3,0,0,1,189,3,19,3,1,22,36,7,0,1,0,1,1,0,1,0,1,1
0,1,2,0,3,2,2,1,174,1,3662,0,2,9,44,21,1,1,1,0,0,1,0,1,0,1
1,1,1,1,1,2,3,0,193,3,611,1,6,12,37,5,0,1,1,1,1,1,1,1,0,1
2,1,2,1,2,1,0,0,238,0,1431,1,6,1,33,3,1,0,1,1,0,1,0,0,1,0
3,1,0,1,2,1,0,2,101,3,1978,3,3,14,36,11,1,0,1,0,0,1,0,1,1,0
0,1,1,0,0,0,0,2,99,0,92,2,2,8,29,18,2,1,1,0,1,1,1,0,0,0
1,1,2,0,1,0,0,1,50,1,82,1,1,10,23,16,2,1,1,1,1,1,1,0,0,1
1,0,0,0,1,1,0,0,71,0,1851,1,7,15,0,20,1,0,0,0,1,0,1,1,1,0
0,0,3,1,2,1,0,2,232,2,1224,2,3,7,26,9,0,1,1,1,1,1,0,1,0,1
2,1,0,3,2,2,2,2,247,3,8219,2,5,18,2,5,0,0,0,1,1,0,1,0,0,0
1,0,2,2,1,1,0,2,222,3,1390,2,4,19,2,7,2,1,1,0,0,1,0,0,0,1
2,1,1,2,2,1,0,2,61,1,434,3,1,23,41,14,2,1,0,1,1,0,0,1,1,0
0,1,1,2,2,2,4,2,137,3,7460,0,6,5,11,20,0,0,1,0,0,1,0,1,1,0
3,0,1,3,2,0,0,0,157,2,15,0,1,20,50,18,0,0,1,0,0,1,0,0,1,1
0,1,3,2,3,2,5,0,174,0,4686,2,2,0,47,2,2,1,0,0,0,0,1,1,1,0
3,0,3,0,0,0,0,1,214,3,88,1,5,12,39,21,0,1,0,1,0,0,1,1,0,1
3,0,0,2,0,0,0,2,214,0,40,2,2,21,43,2,1,1,1,0,0,1,0,1,1,1
3,1,0,3,2,0,0,0,66,3,56,0,6,11,49,20,2,0,0,1,0,0,1,0,1,0
2,0,1,2,1,0,0,2,123,0,14,2,6,22,2,22,1,1,0,1,1,0,0,1,0,1
3,1,1,2,2,1,0,2,105,0,108,3,1,17,19,11,2,0,0,0,1,0,0,1,1,0
1,0,2,2,3,2,2,1,125,3,5168,0,3,1,40,17,2,0,0,1,1,0,0,1,1,0
3,1,1,3,1,2,3,0,280,1,672,0,3,24,34,18,2,0,0,0,1,0,0,1,1,1
1,0,1,2,3,0,0,2,238,0,94,2,3,17,21,22,0,1,1,1,1,1,0,0,0,1
1,0,3,0,2,2,3,2,270,2,3114,1,3,14,5,10,0,1,1,1,1,1,0,0,1,0
3,0,3,1,3,2,1,0,80,2,7134,2,2,5,8,5,1,1,0,1,0,0,0,1,1,1
2,0,1,3,1,2,5,2,276,2,8609,2,6,6,14,20,1,0,0,1,0,0,0,1,1,0
3,0,2,2,3,1,0,1,210,3,852,2,1,16,32,10,2,1,0,1,1,0,0,0,1,1
1,1,3,2,3,1,0,0,270,2,1673,3,6,16,50,14,1,0,1,1,0,1,1,0,1,1
3,0,3,3,1,1,0,1,152,0,1564,1,7,9,17,15,1,0,0,0,0,0,1,1,0,1
3,0,1,3,2,0,0,1,247,2,74,0,7,3,17,22,1,0,0,0,1,0,1,0,0,0
3,0,2,0,3,2,3,2,145,2,2885,0,4,3,33,21,0,0,1,0,1,1,1,1,0,0
3,1,1,1,3,2,3,0,260,2,8130,1,7,7,27,0,0,0,0,1,0,0,0,1,0,1
2,0,3,1,2,1,0,1,283,0,228,2,3,2,40,17,2,1,0,1,1,0,1,1,0,1
3,0,3,3,2,1,0,2,277,3,1162,3,4,1,20,7,0,1,0,1,0,0,0,0,1,1
3,1,0,2,2,1,0,0,203,3,71,3,2,10,24,12,2,1,0,1,0,0,1,1,1,0
1,0,2,1,3,2,5,0,213,1,6337,2,4,13,1,0,0,1,1,0,0,1,0,0,0,0
3,1,1,3,3,1,0,0,135,2,1649,0,4,8,21,2,0,1,0,0,1,0,0,1,1,1
0,0,2,0,3,2,5,1,96,0,6159,0,2,6,5,19,1,1,1,1,1,1,1,1,0,1
2,1,2,3,0,2,5,2,162,3,9884,2,1,21,32,21,1,1,1,1,0,1,0,1,0,0
3,1,1,3,2,2,4,2,233,1,4060,2,7,13,46,7,2,1,0,1,0,0,1,0,0,1
0,0,2,0,3,0,0,2,262,2,68,3,7,11,13,9,1,0,1,0,0,1,1,0,1,0
2,1,0,2,2,0,0,0,176,0,5,1,7,13,34,16,2,0,1,0,0,1,1,0,0,0
3,0,0,1,3,1,0,1,176,2,702,0,4,7,31,18,0,1,0,1,0,0,0,0,0,1
0,1,1,2,1,0,0,2,147,0,2,2,4,1,14,17,2,1,0,0,1,0,0,1,0,1
2,0,2,2,1,0,0,1,83,2,42,0,1,7,0,1,2,1,0,1,0,0,1,1,0,1
3,0,2,2,1,1,0,0,205,3,274,2,5,20,32,0,0,0,1,1,1,1,0,1,0,0
3,0,2,2,1,1,0,1,125,1,590,0,3,1,3,1,2,0,1,0,1,1,0,1,0,1
2,1,3,1,3,2,5,1,145,1,84,0,1,1,5,22,1,1,0,1,0,0,0,0,0,0
3,0,0,2,1,2,5,1,236,1,6908,1,3,15,8,17,1,0,1,0,0,1,0,0,0,0
0,0,2,0,2,0,0,1,101,2,52,3,7,17,45,17,0,1,0,1,1,0,1,1,1,0
1,0,3,3,3,2,1,0,77,1,121,2,2,2,0,3,0,1,1,1,0,1,1,0,1,1
1,1,2,2,3,0,0,0,241,2,30,0,7,19,14,19,0,0,0,0,0,0,0,0,1,1
1,1,1,1,0,1,0,0,124,2,1336,2,4,10,34,20,1,0,0,0,1,0,1,0,0,0
1,1,2,2,0,0,0,1,82,3,89,1,4,5,49,10,0,0,0,0,0,0,1,0,0,0
3,1,0,2,3,1,0,0,262,3,1412,0,6,10,7,19,0,0,0,0,0,0,0,1,1,1
1,1,3,1,0,0,0,0,254,3,4,0,3,6,34,13,0,1,1,0,0,1,0,0,0,0
2,0,0,3,1,1,0,2,76,2,1924,3,1,14,19,2,2,1,0,1,1,0,1,1,1,1
0,0,0,0,3,0,0,0,207,3,64,1,2,8,13,14,2,0,1,1,1,1,1,1,1,1
2,1,1,0,3,2,2,1,234,3,8659,1,1,8,10,11,1,1,1,0,1,1,0,0,1,1
3,0,0,0,1,0,0,2,93,2,82,0,1,17,8,23,1,0,1,1,1,1,1,0,1,0
3,0,1,2,0,0,0,1,76,0,31,0,4,1,0,0,2,0,0,0,1,0,1,0,1,0
3,1,2,3,3,2,2,0,67,2,5230,3,3,5,6,0,0,1,0,1,1,0,1,1,0,1
0,0,2,1,0,1,0,0,101,1,450,2,4,22,35,20,2,1,1,0,0,1,0,1,1,0
0,1,3,3,1,1,0,2,73,0,441,0,2,19,46,13,1,1,1,0,1,1,0,1,0,1
1,0,3,1,2,2,1,0,280,2,6160,1,2,1,8,19,2,1,1,1,1,1,0,1,1,1
2,0,1,1,1,0,0,1,85,1,35,3,4,20,34,4,0,0,1,0,1,1,1,1,0,0
2,1,0,2,3,0,0,2,256,1,57,1,6,5,44,24,1,0,1,1,0,1,1,0,0,0
3,1,3,0,2,0,0,2,193,0,7,2,3,10,43,7,0,0,1,1,0,1,1,1,1,0
0,1,0,2,2,2,4,0,145,1,5469,3,4,16,5,5,2,1,0,0,1,0,0,1,1,0
0,0,0,1,2,0,0,2,282,1,6,3,3,12,23,7,0,1,1,0,1,1,1,1,1,1
1,1,2,0,1,1,0,2,133,1,21,0,3,5,31,11,0,0,0,1,0,0,1,0,1,1
0,1,3,0,1,1,0,2,232,2,1127,3,1,19,45,16,2,1,0,1,0,0,1,1,1,0
3,0,2,0,1,0,0,0,129,3,7,3,2,22,25,18,2,0,0,0,0,0,1,0,1,0
3,0,3,3,1,2,2,1,140,1,6028,2,3,11,12,19,2,0,0,0,0,0,0,0,0,1
0,1,1,0,2,2,1,2,155,2,1669,0,3,1,18,15,0,0,1,1,0,1,1,0,1,0
1,1,0,2,2,1,0,1,171,3,1972,0,6,11,0,4,1,0,1,1,1,1,0,1,0,1
3,0,2,2,0,1,0,2,274,3,684,3,6,9,22,10,2,1,1,0,0,1,1,1,0,0
2,1,2,1,1,0,0,2,264,0,13,1,4,15,42,20,0,0,0,1,1,0,1,1,0,0
3,1,1,0,1,2,1,1,98,0,8061,0,7,14,18,4,0,0,0,1,1,0,1,1,1,1
3,0,1,1,1,2,1,1,252,3,2544,2,7,24,50,24,0,1,0,1,1,0,1,1,1,1
0,1,3,1,0,0,0,2,256,2,46,2,1,17,35,14,1,1,1,1,1,1,1,0,1,1
3,1,0,1,0,1,0,1,209,0,62,0,1,24,18,9,2,0,0,1,0,0,0,0,0,0
3,1,1,2,2,2,2,1,269,1,4447,2,4,12,43,7,0,1,0,0,0,0,0,1,0,0
3,1,0,3,2,2,5,1,113,2,4303,0,7,17,23,17,1,1,0,1,1,0,0,1,1,0
2,1,1,0,0,2,1,2,270,0,3176,3,5,24,16,0,0,0,0,1,1,0,1,1,1,1
0,1,0,3,2,2,5,0,72,2,7255,0,2,0,50,1,0,0,1,1,0,1,0,0,1,0
1,1,1,2,2,0,0,2,101,0,62,2,7,2,19,11,2,0,1,1,1,1,0,0,1,0
0,1,2,2,2,2,3,2,196,0,6254,0,6,21,45,20,1,1,0,0,0,0,1,1,0,1
2,0,1,1,1,0,0,0,277,0,93,3,3,17,17,24,1,0,0,0,0,0,1,0,1,0
3,0,2,1,2,0,0,0,91,3,86,0,3,2,8,7,0,1,1,0,1,1,1,1,1,1
2,1,0,1,2,1,0,0,97,2,357,2,7,4,39,23,0,1,0,1,0,0,1,0,1,0
2,1,1,2,2,2,3,1,244,0,8725,1,7,10,46,1,0,0,0,0,1,0,0,1,0,1
2,1,3,0,3,1,0,0,108,0,1753,3,5,13,16,2,1,0,0,1,1,0,0,0,1,0
2,0,2,0,2,0,0,0,106,0,45,1,1,19,44,16,2,1,1,0,1,1,1,1,1,1
0,1,1,1,1,1,0,0,103,2,292,0,5,14,25,11,0,1,1,1,1,1,0,0,1,0
2,0,3,2,1,1,0,2,220,0,1739,3,6,20,0,20,1,1,1,0,1,1,0,1,1,1
1,1,2,2,0,0,0,0,287,1,2,0,6,14,27,23,2,1,0,0,1,0,0,0,1,0
2,0,2,0,2,0,0,2,123,0,38,3,3,0,21,19,1,0,1,0,0,1,1,1,1,0
2,1,0,2,0,1,0,0,259,2,970,1,1,18,31,15,2,0,1,0,0,1,0,1,0,1
2,1,1,1,3,2,1,2,172,3,8616,2,7,12,2,16,0,0,0,0,0,0,1,1,1,1
0,1,0,1,1,1,0,0,227,0,635,0,3,4,42,11,1,0,0,0,1,0,0,0,1,1
3,0,2,1,1,2,2,2,161,3,2914,3,1,3,13,23,2,1,1,1,1,1,1,0,1,1
0,1,0,3,0,0,0,0,146,2,92,0,3,21,26,15,2,0,0,1,1,0,1,1,0,1
3,0,1,1,0,0,0,1,151,3,67,1,6,13,6,7,1,1,1,1,0,1,0,0,1,1
2,0,0,0,0,2,5,2,244,1,6972,3,5,3,23,23,2,1,0,1,1,0,0,1,0,1
1,0,0,1,3,2,3,0,193,0,9812,1,3,5,31,17,2,1,1,0,1,1,0,1,1,1
3,1,2,2,2,1,0,2,255,0,1057,0,7,8,27,18,2,0,1,1,1,1,0,1,1,1
3,1,0,0,2,2,1,1,125,2,3295,1,1,11,34,11,2,1,0,1,1,0,1,1,0,0
0,0,2,3,1,0,0,2,52,1,97,0,1,7,9,10,2,1,1,0,1,1,0,1,1,1
3,0,2,1,2,2,2,0,252,2,9705,2,6,9,8,23,2,0,1,0,0,1,0,0,0,0
0,0,1,2,3,2,5,2,69,2,3105,0,6,8,38,2,0,0,0,1,1,0,1,0,1,1
2,1,2,3,3,0,0,2,139,3,6,2,1,23,2,11,0,0,1,1,0,1,1,0,1,0
2,1,3,3,0,0,0,1,242,0,34,0,2,15,42,8,1,1,0,1,0,0,0,0,1,1
0,1,0,1,3,1,0,1,224,1,1328,1,2,24,28,22,2,1,0,1,1,0,0,0,1,1
3,1,2,2,1,1,0,1,242,3,779,0,7,7,16,12,0,1,1,1,0,1,0,0,0,1
2,0,1,0,3,1,0,0,193,2,913,2,4,5,29,1,1,1,0,0,0,0,0,0,1,0
2,0,0,3,2,2,2,0,79,2,5464,0,1,19,45,14,2,0,1,0,0,1,1,1,1,1
0,1,0,0,2,2,5,0,222,3,3912,3,6,7,41,20,0,0,1,0,0,1,0,0,0,0
2,0,2,3,3,0,0,2,271,2,89,2,7,5,46,20,0,1,1,1,0,1,0,0,1,1
2,0,2,0,2,2,4,0,193,1,4359,3,5,15,9,5,2,1,1,1,0,1,1,0,1,0
2,0,0,0,1,2,5,0,156,2,7873,1,7,21,44,6,2,1,1,0,1,1,0,1,1,0
3,1,0,3,3,1,0,0,168,2,374,0,2,20,34,3,0,1,0,1,1,0,1,0,1,1
1,0,3,2,3,1,0,2,175,2,1218,3,1,10,17,19,2,1,0,0,1,0,1,0,0,0
2,0,2,2,3,0,0,1,212,2,1,3,1,4,38,9,2,0,0,1,0,0,0,1,1,0
2,1,2,0,3,1,0,0,101,3,638,3,7,8,36,1,1,1,0,0,0,0,0,0,0,0
3,0,2,1,3,2,4,2,296,2,8641,3,4,19,3,20,0,0,1,1,1,1,1,1,0,0
3,1,2,3,1,0,0,0,66,3,46,0,5,14,50,14,2,0,1,0,0,1,0,1,0,0
2,0,3,2,2,2,4,0,210,2,2871,1,1,15,35,0,1,0,0,0,0,0,0,0,1,0
